Id,Name,Branch,Parent,Tier,Slot,Icon,CostBase,CostPerCity,Unlocks,Effect
Mountaineering,등산,Mountaineering,,1,0,mountaineering,4,1,Move.Mountain;Defense.Mountain;Reveal.Resource_Metal,산 타일 진입/이동 가능. 숨겨진 광맥 발견. 산 타일 유닛 방어력 +1.
Meditation,명상,Mountaineering,Mountaineering,2,0,meditation,4,2,Build.MountainTemple,산악 신전 건설 가능(골드 20).
Mining,채광,Mountaineering,Mountaineering,2,1,mining,4,2,Build.Mine,광산 건설 가능(골드 5 / 광물 위 / 인구 +2).
Philosophy,철학,Mountaineering,Meditation,3,0,philosophy,4,3,Literacy;Unit.cleric,모든 기술 개발 비용 33% 감소. 현자(사제) 훈련 가능.
Smithing,제련,Mountaineering,Mining,3,1,smithing,4,3,Build.Forge;Unit.gladiator,대장간 건설 가능(인접 광산당 인구 +2). 검사(검투사) 훈련 가능.
Gathering,채집,Gathering,,1,0,gathering,4,1,Harvest.Fruit;Reveal.Resource_Crop,과일 채집 가능(골드 2 / 인구 +1). 숨겨진 농작물 발견.
Shields,방패,Gathering,Gathering,2,0,shields,4,2,Unit.shield,방패병 훈련 가능.
Farming,농사,Gathering,Gathering,2,1,farming,4,2,Build.Farm,농장 건설 가능(골드 5 / 작물 위 / 인구 +2).
Diplomacy,외교,Gathering,Shields,3,0,diplomacy,4,3,Unit.spy,망토(스파이) 훈련 가능.
Construction,건축,Gathering,Farming,3,1,construction,4,3,Build.Windmill;Ability.Destroy,풍차 건설 가능(인접 농장당 인구 +1). 자기 건물 파괴 가능.
Riding,기마,Riding,,1,0,riding,4,1,Unit.cavalry,기마병 훈련 가능.
FreeSpirit,자유 영혼,Riding,Riding,2,0,freespirit,4,2,Build.Temple;Ability.Disband,신전 건설 가능(골드 20). 자기 유닛 해산 가능(비용 절반 환급).
Roads,도로,Riding,Riding,2,1,roads,4,2,Build.Road,도로 건설 가능(골드 3) - 도로로 수도와 이어진 도시는 인구/발전도 보너스.
Chivalry,기사도,Riding,FreeSpirit,3,0,chivalry,4,3,Unit.knight;Ability.BurnForest,기사 훈련 가능. 자기 숲 화전 가능(골드 5 / 숲 -> 작물 평지).
Trade,교역,Riding,Roads,3,1,trade,4,3,Build.Market,시장 건설 가능(인접 풍차/대장간/제재소 인구만큼 골드/턴).
Hunting,사냥,Hunting,,1,0,hunting,4,1,Harvest.Animal;Reveal.Resource_Animal,동물 사냥 가능(골드 2 / 인구 +1). 숨겨진 동물 발견.
Forestry,임업,Hunting,Hunting,2,0,forestry,4,2,Build.LumberHut;Ability.ClearForest,벌목장 건설 가능(골드 3 / 인구 +1). 자기 숲 벌목 가능(골드 +1).
Archery,궁술,Hunting,Hunting,2,1,archery,4,2,Unit.archer;Defense.Forest,궁수 훈련 가능. 숲 타일 유닛 방어력 +1.
Mathematics,수학,Hunting,Forestry,3,0,mathematics,4,3,Build.Sawmill;Unit.catapult,제재소 건설 가능(인접 벌목장당 인구 +1). 투석기 훈련 가능.
Spiritualism,강신술,Hunting,Archery,3,1,spiritualism,4,3,Build.ForestTemple;Ability.GrowForest,숲 신전 건설 가능(골드 15). 자기 평지에 숲 생성 가능(골드 5).
Fishing,낚시,Fishing,,1,0,fishing,4,1,Build.Port;Harvest.Fish;Reveal.Resource_Fish,항구 건설 가능(골드 7 / 인구 +1 / 해로 연결). 물고기 낚시 가능. 숨겨진 물고기 발견.
Ramming,충파,Fishing,Fishing,2,0,ramming,4,2,Unit.rammer,충각선 훈련 가능(유닛 CSV에 rammer 행이 있을 때).
Sailing,배 타기,Fishing,Fishing,2,1,sailing,4,2,Move.Ocean;Unit.scout,원양 타일 진입/이동 가능. 정찰선 훈련 가능(유닛 CSV에 scout 행이 있을 때).
Aquatics,수생학,Fishing,Ramming,3,0,aquatics,4,3,Build.WaterTemple;Defense.Water,해양 신전 건설 가능(골드 20). 근해/원양 타일 유닛 방어력 +1.
Navigation,항해,Fishing,Sailing,3,1,navigation,4,3,Unit.bomber;Harvest.Starfish;Reveal.Starfish,전투함 훈련 가능(유닛 CSV에 bomber 행이 있을 때). 불가사리(유물) 인양 가능(골드 +8). 숨겨진 불가사리 발견.
